Витрина,Критичность,Объём данных (ГБ),Кол-во связей,Качество данных,Сложность изменений,Ошибки в истории,Уровень риска
DWH_Vitrina_437,Низкая,142,8,82,4,6,Низкий
DWH_Vitrina_438,Высокая,72,11,84,1,5,Высокий
DWH_Vitrina_439,Средняя,150,2,65,6,4,Средний
DWH_Vitrina_440,Низкая,92,14,60,4,6,Низкий
DWH_Vitrina_441,Высокая,103,15,62,1,1,Низкий
DWH_Vitrina_442,Средняя,26,2,78,6,2,Низкий
DWH_Vitrina_443,Высокая,163,17,70,3,4,Низкий
DWH_Vitrina_444,Высокая,41,20,76,8,3,Низкий
DWH_Vitrina_445,Низкая,65,12,64,3,4,Низкий
DWH_Vitrina_446,Низкая,96,11,89,8,5,Низкий
DWH_Vitrina_447,Низкая,179,9,61,6,7,Низкий
DWH_Vitrina_448,Низкая,6,19,62,2,5,Низкий
DWH_Vitrina_449,Высокая,169,15,81,11,3,Низкий
DWH_Vitrina_450,Низкая,49,6,83,4,3,Низкий
DWH_Vitrina_451,Низкая,147,18,87,6,3,Низкий
DWH_Vitrina_452,Высокая,115,8,81,1,6,Высокий
DWH_Vitrina_453,Высокая,169,5,78,9,4,Низкий
DWH_Vitrina_454,Средняя,13,11,101,6,6,Средний
DWH_Vitrina_455,Средняя,125,3,97,1,0,Низкий
DWH_Vitrina_456,Высокая,193,14,81,1,5,Высокий
DWH_Vitrina_457,Высокая,179,13,77,5,5,Высокий
DWH_Vitrina_458,Средняя,117,8,73,3,7,Средний
DWH_Vitrina_459,Высокая,184,3,71,1,6,Высокий
DWH_Vitrina_460,Низкая,16,3,101,10,2,Низкий
DWH_Vitrina_461,Средняя,76,16,70,11,3,Средний
DWH_Vitrina_462,Средняя,66,1,94,4,0,Низкий
DWH_Vitrina_463,Низкая,168,21,101,11,4,Низкий
DWH_Vitrina_464,Высокая,93,18,93,7,6,Высокий
DWH_Vitrina_465,Средняя,96,16,91,7,4,Средний
DWH_Vitrina_466,Высокая,49,15,75,1,5,Высокий
DWH_Vitrina_467,Низкая,49,13,99,3,6,Низкий
DWH_Vitrina_468,Низкая,43,8,60,2,2,Низкий
DWH_Vitrina_469,Низкая,151,17,76,11,5,Низкий
DWH_Vitrina_470,Высокая,107,17,72,10,3,Низкий
DWH_Vitrina_471,Низкая,106,21,61,8,3,Низкий
DWH_Vitrina_472,Низкая,186,10,91,11,6,Низкий
DWH_Vitrina_473,Высокая,158,14,97,8,3,Низкий
DWH_Vitrina_474,Высокая,137,21,73,9,7,Высокий
DWH_Vitrina_475,Высокая,28,6,62,8,0,Низкий
DWH_Vitrina_476,Средняя,104,5,92,6,3,Средний
DWH_Vitrina_477,Высокая,86,18,93,3,5,Высокий
DWH_Vitrina_478,Низкая,147,3,101,2,6,Низкий
DWH_Vitrina_479,Средняя,124,1,95,11,1,Низкий
DWH_Vitrina_480,Высокая,99,6,69,3,5,Высокий
DWH_Vitrina_481,Средняя,68,2,65,5,2,Низкий
DWH_Vitrina_482,Средняя,78,7,82,8,7,Средний
DWH_Vitrina_483,Высокая,91,11,69,3,4,Низкий
DWH_Vitrina_484,Средняя,94,14,74,7,4,Средний
DWH_Vitrina_485,Низкая,152,4,97,1,3,Низкий
DWH_Vitrina_486,Высокая,160,7,73,10,2,Низкий
DWH_Vitrina_487,Средняя,57,8,83,3,5,Средний
DWH_Vitrina_488,Высокая,84,16,79,8,1,Низкий
DWH_Vitrina_489,Средняя,48,4,98,10,2,Низкий
DWH_Vitrina_490,Высокая,178,17,72,3,2,Низкий
DWH_Vitrina_491,Высокая,128,17,64,10,3,Низкий
DWH_Vitrina_492,Высокая,32,14,77,11,1,Низкий
DWH_Vitrina_493,Высокая,124,4,89,6,0,Низкий
DWH_Vitrina_494,Средняя,141,19,89,7,6,Средний
DWH_Vitrina_495,Низкая,117,10,80,5,6,Низкий
DWH_Vitrina_496,Средняя,178,11,64,9,7,Средний
DWH_Vitrina_497,Высокая,187,8,95,10,4,Низкий
DWH_Vitrina_498,Низкая,135,4,75,9,4,Низкий
DWH_Vitrina_499,Средняя,123,2,101,10,4,Средний
DWH_Vitrina_500,Средняя,101,12,93,7,5,Средний
DWH_Vitrina_501,Высокая,188,6,93,4,3,Низкий
DWH_Vitrina_502,Низкая,74,19,61,11,3,Низкий
DWH_Vitrina_503,Низкая,69,21,84,7,1,Низкий
DWH_Vitrina_504,Высокая,180,3,98,4,4,Низкий
DWH_Vitrina_505,Низкая,172,5,79,1,7,Низкий
DWH_Vitrina_506,Средняя,181,1,92,1,6,Средний
DWH_Vitrina_507,Высокая,141,9,90,11,6,Высокий
DWH_Vitrina_508,Средняя,29,8,70,10,0,Низкий
DWH_Vitrina_509,Низкая,180,21,67,3,3,Низкий
DWH_Vitrina_510,Средняя,147,9,101,2,6,Средний
DWH_Vitrina_511,Высокая,7,4,79,1,4,Низкий
DWH_Vitrina_512,Средняя,189,4,86,7,4,Средний
DWH_Vitrina_513,Средняя,148,19,90,2,6,Средний
DWH_Vitrina_514,Средняя,7,19,75,10,1,Низкий
DWH_Vitrina_515,Средняя,40,13,61,2,0,Низкий
DWH_Vitrina_516,Высокая,199,3,72,10,3,Низкий
DWH_Vitrina_517,Низкая,59,20,92,11,5,Низкий
DWH_Vitrina_518,Низкая,157,16,76,7,0,Низкий
DWH_Vitrina_519,Низкая,123,5,85,7,4,Низкий
DWH_Vitrina_520,Средняя,179,16,68,10,0,Низкий
DWH_Vitrina_521,Низкая,164,13,62,9,5,Низкий
DWH_Vitrina_522,Низкая,186,6,101,1,1,Низкий
DWH_Vitrina_523,Средняя,123,19,81,2,3,Средний
DWH_Vitrina_524,Высокая,166,5,94,4,4,Низкий
DWH_Vitrina_525,Средняя,187,17,75,2,5,Средний
DWH_Vitrina_526,Низкая,130,12,60,11,6,Низкий
DWH_Vitrina_527,Средняя,98,6,60,8,1,Низкий
DWH_Vitrina_528,Высокая,177,11,80,8,7,Высокий
DWH_Vitrina_529,Средняя,35,19,81,6,3,Средний
DWH_Vitrina_530,Средняя,12,2,92,6,5,Средний
DWH_Vitrina_531,Высокая,146,16,82,7,2,Низкий
DWH_Vitrina_532,Средняя,27,9,60,4,0,Низкий
DWH_Vitrina_533,Высокая,137,12,66,1,0,Низкий
DWH_Vitrina_534,Высокая,24,20,65,4,5,Высокий
DWH_Vitrina_535,Средняя,93,21,94,7,2,Низкий
DWH_Vitrina_536,Высокая,143,9,82,5,5,Высокий
DWH_Vitrina_537,Средняя,128,19,88,2,6,Средний
DWH_Vitrina_538,Высокая,190,8,88,6,3,Низкий
DWH_Vitrina_539,Средняя,31,15,99,9,1,Низкий
DWH_Vitrina_540,Высокая,29,21,76,10,4,Низкий
DWH_Vitrina_541,Высокая,13,16,68,2,5,Высокий
DWH_Vitrina_542,Средняя,119,7,91,6,7,Средний
DWH_Vitrina_543,Высокая,15,13,68,5,4,Низкий
DWH_Vitrina_544,Низкая,169,19,99,5,5,Низкий
DWH_Vitrina_545,Высокая,79,20,64,5,2,Низкий
DWH_Vitrina_546,Средняя,83,1,88,7,2,Низкий
DWH_Vitrina_547,Низкая,168,7,89,5,5,Низкий
DWH_Vitrina_548,Низкая,200,5,97,9,0,Низкий
DWH_Vitrina_549,Низкая,110,1,98,2,5,Низкий
DWH_Vitrina_550,Низкая,97,1,82,8,3,Низкий
DWH_Vitrina_551,Низкая,21,18,69,6,3,Низкий
DWH_Vitrina_552,Средняя,29,3,96,3,3,Средний
DWH_Vitrina_553,Высокая,118,8,93,11,6,Высокий
DWH_Vitrina_554,Средняя,128,6,70,5,0,Низкий
DWH_Vitrina_555,Высокая,74,15,77,5,2,Низкий
DWH_Vitrina_556,Высокая,178,12,81,3,7,Высокий
DWH_Vitrina_557,Высокая,103,15,76,5,6,Высокий
DWH_Vitrina_558,Высокая,80,2,98,6,0,Низкий
DWH_Vitrina_559,Низкая,19,20,89,9,0,Низкий
DWH_Vitrina_560,Высокая,6,20,82,1,7,Высокий
DWH_Vitrina_561,Средняя,191,19,76,8,3,Средний
DWH_Vitrina_562,Высокая,166,9,81,7,0,Низкий
DWH_Vitrina_563,Высокая,155,18,93,10,5,Высокий
DWH_Vitrina_564,Низкая,26,15,94,1,0,Низкий
DWH_Vitrina_565,Средняя,105,7,68,4,4,Средний
DWH_Vitrina_566,Высокая,16,20,60,7,2,Низкий
DWH_Vitrina_567,Низкая,83,7,85,9,5,Низкий
DWH_Vitrina_568,Высокая,159,18,61,6,0,Низкий
DWH_Vitrina_569,Низкая,120,9,73,5,4,Низкий
DWH_Vitrina_570,Высокая,129,11,69,8,2,Низкий
DWH_Vitrina_571,Средняя,71,5,89,4,0,Низкий
DWH_Vitrina_572,Средняя,115,6,94,3,7,Средний
DWH_Vitrina_573,Низкая,188,5,61,1,2,Низкий
DWH_Vitrina_574,Низкая,72,19,93,11,2,Низкий
DWH_Vitrina_575,Средняя,113,10,88,10,5,Средний
DWH_Vitrina_576,Низкая,196,16,73,7,6,Низкий
DWH_Vitrina_577,Высокая,95,2,80,3,6,Высокий
DWH_Vitrina_578,Низкая,143,6,70,3,3,Низкий
DWH_Vitrina_579,Средняя,8,15,92,7,6,Средний
DWH_Vitrina_580,Низкая,132,6,75,2,2,Низкий
DWH_Vitrina_581,Средняя,113,2,95,11,4,Средний
DWH_Vitrina_582,Средняя,22,8,71,7,3,Средний
DWH_Vitrina_583,Высокая,17,4,62,11,6,Высокий
DWH_Vitrina_584,Средняя,78,11,60,7,2,Низкий
DWH_Vitrina_585,Низкая,163,11,75,5,3,Низкий
DWH_Vitrina_586,Низкая,59,7,79,4,6,Низкий
DWH_Vitrina_587,Средняя,191,15,84,11,5,Средний
DWH_Vitrina_588,Низкая,139,11,67,11,2,Низкий
DWH_Vitrina_589,Средняя,128,2,71,3,0,Низкий
DWH_Vitrina_590,Средняя,186,5,77,8,1,Низкий
DWH_Vitrina_591,Низкая,66,6,83,1,4,Низкий
DWH_Vitrina_592,Средняя,46,7,74,3,2,Низкий
DWH_Vitrina_593,Высокая,37,7,67,7,0,Низкий
DWH_Vitrina_594,Низкая,101,14,78,4,6,Низкий
DWH_Vitrina_595,Низкая,176,15,100,7,0,Низкий
DWH_Vitrina_596,Высокая,39,18,82,11,6,Высокий
DWH_Vitrina_597,Средняя,126,13,95,9,1,Низкий
DWH_Vitrina_598,Низкая,71,19,85,1,6,Низкий
DWH_Vitrina_599,Средняя,72,20,90,8,0,Низкий
DWH_Vitrina_600,Средняя,9,5,78,8,0,Низкий
DWH_Vitrina_601,Низкая,29,2,72,6,6,Низкий
DWH_Vitrina_602,Высокая,172,5,91,8,4,Низкий
DWH_Vitrina_603,Средняя,181,9,78,9,2,Низкий
DWH_Vitrina_604,Высокая,16,21,93,3,4,Низкий
DWH_Vitrina_605,Высокая,84,12,75,9,4,Низкий
DWH_Vitrina_606,Высокая,7,18,75,7,6,Высокий
DWH_Vitrina_607,Низкая,37,18,71,7,0,Низкий
DWH_Vitrina_608,Высокая,199,2,91,6,5,Высокий
DWH_Vitrina_609,Низкая,151,7,75,6,3,Низкий
DWH_Vitrina_610,Низкая,5,18,90,9,7,Низкий
DWH_Vitrina_611,Средняя,154,6,84,1,5,Средний
DWH_Vitrina_612,Низкая,14,10,72,6,7,Низкий
DWH_Vitrina_613,Высокая,94,10,88,7,7,Высокий
DWH_Vitrina_614,Средняя,15,18,72,7,7,Средний
DWH_Vitrina_615,Средняя,61,3,75,9,0,Низкий
DWH_Vitrina_616,Низкая,119,7,76,4,1,Низкий
DWH_Vitrina_617,Низкая,136,17,96,11,3,Низкий
DWH_Vitrina_618,Низкая,82,12,98,3,6,Низкий
DWH_Vitrina_619,Средняя,13,1,77,7,4,Средний
DWH_Vitrina_620,Низкая,71,7,75,5,4,Низкий
DWH_Vitrina_621,Средняя,88,10,74,3,3,Средний
DWH_Vitrina_622,Средняя,187,15,73,1,2,Низкий
DWH_Vitrina_623,Средняя,198,6,61,2,0,Низкий
DWH_Vitrina_624,Низкая,43,11,87,1,7,Низкий
DWH_Vitrina_625,Высокая,91,16,88,10,6,Высокий
DWH_Vitrina_626,Низкая,151,5,101,11,7,Низкий
DWH_Vitrina_627,Средняя,159,13,62,11,1,Низкий
DWH_Vitrina_628,Низкая,62,16,85,5,4,Низкий
DWH_Vitrina_629,Средняя,57,5,83,5,4,Средний
DWH_Vitrina_630,Низкая,155,16,90,9,4,Низкий
DWH_Vitrina_631,Высокая,125,5,85,3,3,Низкий
DWH_Vitrina_632,Средняя,84,3,72,8,7,Средний
DWH_Vitrina_633,Низкая,156,6,76,10,5,Низкий
DWH_Vitrina_634,Низкая,121,17,87,4,6,Низкий
DWH_Vitrina_635,Высокая,34,2,70,7,7,Высокий
DWH_Vitrina_636,Средняя,113,6,86,2,1,Низкий
DWH_Vitrina_637,Средняя,161,3,80,11,3,Средний
DWH_Vitrina_638,Высокая,54,17,86,10,0,Низкий
DWH_Vitrina_639,Средняя,163,20,68,9,5,Средний
DWH_Vitrina_640,Средняя,40,8,82,5,7,Средний
DWH_Vitrina_641,Средняя,85,11,61,5,4,Средний
DWH_Vitrina_642,Средняя,98,14,98,11,5,Средний
DWH_Vitrina_643,Высокая,187,6,93,5,5,Высокий
DWH_Vitrina_644,Средняя,186,21,63,8,4,Средний
DWH_Vitrina_645,Низкая,149,8,65,9,1,Низкий
DWH_Vitrina_646,Высокая,35,13,76,2,3,Низкий
DWH_Vitrina_647,Средняя,150,10,88,4,6,Средний
DWH_Vitrina_648,Высокая,115,2,77,2,7,Высокий
DWH_Vitrina_649,Высокая,84,9,68,7,5,Высокий
DWH_Vitrina_650,Низкая,116,19,75,10,6,Низкий
DWH_Vitrina_651,Средняя,162,14,64,11,2,Низкий
DWH_Vitrina_652,Средняя,196,19,90,2,2,Низкий
DWH_Vitrina_653,Средняя,74,21,65,7,5,Средний
DWH_Vitrina_654,Высокая,140,9,64,11,3,Низкий
DWH_Vitrina_655,Низкая,89,8,84,7,7,Низкий
DWH_Vitrina_656,Низкая,68,10,74,8,6,Низкий
DWH_Vitrina_657,Средняя,195,15,62,4,4,Средний
DWH_Vitrina_658,Средняя,76,2,94,4,5,Средний
DWH_Vitrina_659,Высокая,123,7,81,6,0,Низкий
DWH_Vitrina_660,Высокая,188,9,77,7,2,Низкий
DWH_Vitrina_661,Средняя,173,16,90,1,2,Низкий
DWH_Vitrina_662,Низкая,125,4,68,10,4,Низкий
DWH_Vitrina_663,Высокая,96,16,96,6,1,Низкий
DWH_Vitrina_664,Низкая,110,15,68,10,4,Низкий
DWH_Vitrina_665,Низкая,175,20,97,9,2,Низкий
DWH_Vitrina_666,Высокая,192,5,89,7,4,Низкий
DWH_Vitrina_667,Низкая,123,8,99,11,7,Низкий
DWH_Vitrina_668,Низкая,195,2,90,2,3,Низкий
DWH_Vitrina_669,Низкая,200,19,60,3,3,Низкий
DWH_Vitrina_670,Средняя,115,14,66,4,7,Средний
DWH_Vitrina_671,Низкая,161,3,74,6,4,Низкий
DWH_Vitrina_672,Средняя,95,19,65,5,5,Средний
DWH_Vitrina_673,Высокая,198,14,66,9,1,Низкий
DWH_Vitrina_674,Низкая,6,5,93,4,3,Низкий
DWH_Vitrina_675,Низкая,134,10,69,9,4,Низкий
DWH_Vitrina_676,Высокая,13,13,73,6,0,Низкий
DWH_Vitrina_677,Средняя,181,11,88,10,5,Средний
DWH_Vitrina_678,Высокая,85,10,82,11,3,Низкий
DWH_Vitrina_679,Низкая,141,2,70,3,3,Низкий
DWH_Vitrina_680,Низкая,163,10,83,1,1,Низкий
DWH_Vitrina_681,Средняя,110,7,89,9,7,Средний
DWH_Vitrina_682,Средняя,121,11,61,7,3,Средний
DWH_Vitrina_683,Высокая,63,6,70,4,5,Высокий
DWH_Vitrina_684,Высокая,100,11,62,1,6,Высокий
DWH_Vitrina_685,Средняя,165,15,101,11,0,Низкий
DWH_Vitrina_686,Низкая,172,20,74,8,7,Низкий
DWH_Vitrina_687,Средняя,140,8,67,7,1,Низкий
DWH_Vitrina_688,Высокая,57,14,86,9,0,Низкий
DWH_Vitrina_689,Средняя,160,1,91,3,1,Низкий
DWH_Vitrina_690,Низкая,31,20,62,2,1,Низкий
DWH_Vitrina_691,Высокая,140,13,100,7,3,Низкий
DWH_Vitrina_692,Средняя,191,7,94,1,3,Средний
DWH_Vitrina_693,Средняя,11,5,97,10,2,Низкий
DWH_Vitrina_694,Средняя,35,11,77,3,6,Средний
DWH_Vitrina_695,Средняя,13,11,97,2,1,Низкий
DWH_Vitrina_696,Средняя,197,13,81,1,3,Средний
DWH_Vitrina_697,Высокая,121,4,69,11,1,Низкий
DWH_Vitrina_698,Высокая,132,5,72,5,7,Высокий
DWH_Vitrina_699,Низкая,180,10,77,6,5,Низкий
DWH_Vitrina_700,Низкая,122,10,95,3,2,Низкий
DWH_Vitrina_701,Высокая,111,6,80,5,6,Высокий
DWH_Vitrina_702,Низкая,92,14,97,5,1,Низкий
DWH_Vitrina_703,Низкая,93,5,90,2,5,Низкий
DWH_Vitrina_704,Высокая,79,12,87,2,4,Низкий
DWH_Vitrina_705,Низкая,159,7,99,8,6,Низкий
DWH_Vitrina_706,Высокая,176,9,60,10,0,Низкий
DWH_Vitrina_707,Низкая,115,3,77,4,2,Низкий
DWH_Vitrina_708,Низкая,80,8,90,1,7,Низкий
DWH_Vitrina_709,Средняя,101,8,77,4,2,Низкий
DWH_Vitrina_710,Низкая,63,14,94,11,2,Низкий
DWH_Vitrina_711,Высокая,201,15,87,6,7,Высокий
DWH_Vitrina_712,Высокая,14,3,64,9,0,Низкий
DWH_Vitrina_713,Высокая,64,15,99,3,4,Низкий
DWH_Vitrina_714,Низкая,123,14,95,8,1,Низкий
DWH_Vitrina_715,Средняя,132,13,82,8,5,Средний
DWH_Vitrina_716,Низкая,60,13,96,11,0,Низкий
DWH_Vitrina_717,Высокая,186,18,73,11,6,Высокий
DWH_Vitrina_718,Высокая,111,5,89,8,7,Высокий
DWH_Vitrina_719,Средняя,31,7,68,7,4,Средний
DWH_Vitrina_720,Высокая,133,4,73,10,0,Низкий
DWH_Vitrina_721,Низкая,161,8,63,7,1,Низкий
DWH_Vitrina_722,Высокая,153,21,86,5,0,Низкий
DWH_Vitrina_723,Низкая,111,4,92,6,5,Низкий
DWH_Vitrina_724,Низкая,177,4,84,4,5,Низкий
DWH_Vitrina_725,Низкая,10,1,79,4,2,Низкий
DWH_Vitrina_726,Низкая,161,2,96,11,0,Низкий
DWH_Vitrina_727,Высокая,103,1,65,8,2,Низкий
DWH_Vitrina_728,Средняя,161,13,99,11,7,Средний
DWH_Vitrina_729,Низкая,106,19,94,11,7,Низкий
DWH_Vitrina_730,Низкая,6,10,100,2,7,Низкий
DWH_Vitrina_731,Средняя,14,4,81,4,0,Низкий
DWH_Vitrina_732,Средняя,38,19,97,1,6,Средний
DWH_Vitrina_733,Высокая,83,19,77,2,1,Низкий
DWH_Vitrina_734,Высокая,48,5,64,7,6,Высокий
DWH_Vitrina_735,Низкая,65,15,76,11,3,Низкий
DWH_Vitrina_736,Средняя,199,1,83,1,7,Средний
DWH_Vitrina_737,Средняя,35,16,80,7,6,Средний
DWH_Vitrina_738,Высокая,91,3,64,3,3,Низкий
DWH_Vitrina_739,Средняя,80,8,96,10,1,Низкий
DWH_Vitrina_740,Средняя,44,16,93,4,0,Низкий
DWH_Vitrina_741,Высокая,137,19,78,7,4,Низкий
DWH_Vitrina_742,Низкая,10,12,74,7,4,Низкий
DWH_Vitrina_743,Низкая,192,13,75,10,2,Низкий
DWH_Vitrina_744,Низкая,16,10,75,3,0,Низкий
DWH_Vitrina_745,Средняя,192,21,91,9,2,Низкий
DWH_Vitrina_746,Низкая,67,11,66,1,4,Низкий
DWH_Vitrina_747,Средняя,47,21,99,4,4,Средний
DWH_Vitrina_748,Низкая,126,1,82,1,2,Низкий
DWH_Vitrina_749,Низкая,116,21,78,8,6,Низкий
DWH_Vitrina_750,Высокая,166,5,91,11,4,Низкий
DWH_Vitrina_751,Средняя,44,2,94,5,7,Средний
DWH_Vitrina_752,Средняя,91,21,63,3,1,Низкий
DWH_Vitrina_753,Высокая,37,20,70,7,0,Низкий
DWH_Vitrina_754,Низкая,113,3,91,10,4,Низкий
DWH_Vitrina_755,Низкая,166,10,93,3,5,Низкий
DWH_Vitrina_756,Средняя,159,2,78,10,0,Низкий
DWH_Vitrina_757,Высокая,5,3,74,11,0,Низкий
DWH_Vitrina_758,Средняя,30,10,64,8,4,Средний
DWH_Vitrina_759,Средняя,63,12,97,7,3,Средний
DWH_Vitrina_760,Средняя,61,19,68,3,0,Низкий
DWH_Vitrina_761,Высокая,21,15,97,11,3,Низкий
DWH_Vitrina_762,Средняя,8,21,74,11,6,Средний
DWH_Vitrina_763,Средняя,132,9,68,11,3,Средний
DWH_Vitrina_764,Средняя,67,19,78,10,4,Средний
DWH_Vitrina_765,Низкая,114,11,66,1,6,Низкий
DWH_Vitrina_766,Низкая,59,8,65,8,0,Низкий
DWH_Vitrina_767,Высокая,131,20,89,10,2,Низкий
DWH_Vitrina_768,Средняя,157,21,83,7,3,Средний
DWH_Vitrina_769,Низкая,17,14,71,11,1,Низкий
DWH_Vitrina_770,Низкая,168,14,88,6,3,Низкий
DWH_Vitrina_771,Высокая,175,7,101,3,5,Высокий
DWH_Vitrina_772,Высокая,171,7,85,10,0,Низкий
DWH_Vitrina_773,Средняя,146,18,62,7,2,Низкий
DWH_Vitrina_774,Высокая,59,1,90,11,4,Низкий
DWH_Vitrina_775,Высокая,193,4,92,3,3,Низкий
DWH_Vitrina_776,Высокая,141,14,65,9,0,Низкий
DWH_Vitrina_777,Низкая,66,5,73,8,6,Низкий
DWH_Vitrina_778,Средняя,32,15,66,3,5,Средний
DWH_Vitrina_779,Средняя,28,21,98,7,7,Средний
DWH_Vitrina_780,Низкая,116,17,87,7,5,Низкий
DWH_Vitrina_781,Средняя,188,7,71,5,7,Средний
DWH_Vitrina_782,Высокая,42,15,74,10,2,Низкий
DWH_Vitrina_783,Средняя,192,16,81,5,2,Низкий
DWH_Vitrina_784,Высокая,183,11,95,8,0,Низкий
DWH_Vitrina_785,Высокая,138,1,100,9,3,Низкий
DWH_Vitrina_786,Средняя,56,20,83,10,2,Низкий
DWH_Vitrina_787,Низкая,51,11,82,6,1,Низкий
DWH_Vitrina_788,Средняя,52,17,96,1,6,Средний
DWH_Vitrina_789,Низкая,126,6,78,5,7,Низкий
DWH_Vitrina_790,Низкая,60,21,65,6,2,Низкий
DWH_Vitrina_791,Низкая,137,13,64,7,1,Низкий
DWH_Vitrina_792,Высокая,106,16,70,8,3,Низкий
DWH_Vitrina_793,Высокая,40,18,65,9,4,Низкий
DWH_Vitrina_794,Низкая,71,17,73,1,3,Низкий
DWH_Vitrina_795,Средняя,27,1,74,1,1,Низкий
DWH_Vitrina_796,Низкая,42,2,62,3,5,Низкий
DWH_Vitrina_797,Высокая,43,8,63,1,1,Низкий
DWH_Vitrina_798,Низкая,99,13,84,8,5,Низкий
DWH_Vitrina_799,Средняя,12,4,98,6,6,Средний
DWH_Vitrina_800,Высокая,167,20,63,5,4,Низкий
DWH_Vitrina_801,Низкая,47,8,84,6,1,Низкий
DWH_Vitrina_802,Низкая,83,1,96,6,1,Низкий
DWH_Vitrina_803,Низкая,107,10,97,7,7,Низкий
DWH_Vitrina_804,Низкая,140,9,76,3,1,Низкий
DWH_Vitrina_805,Высокая,187,9,84,9,3,Низкий
DWH_Vitrina_806,Низкая,158,8,81,1,1,Низкий
DWH_Vitrina_807,Высокая,146,11,63,10,6,Высокий
DWH_Vitrina_808,Средняя,81,15,93,11,2,Низкий
DWH_Vitrina_809,Низкая,96,14,88,8,2,Низкий
DWH_Vitrina_810,Средняя,6,10,75,4,7,Средний
DWH_Vitrina_811,Средняя,59,17,72,6,3,Средний
DWH_Vitrina_812,Низкая,40,13,77,2,6,Низкий
DWH_Vitrina_813,Низкая,16,7,76,3,4,Низкий
DWH_Vitrina_814,Средняя,136,5,62,7,1,Низкий
DWH_Vitrina_815,Высокая,15,14,87,11,1,Низкий
DWH_Vitrina_816,Низкая,7,11,61,6,4,Низкий
DWH_Vitrina_817,Высокая,184,4,61,6,0,Низкий
DWH_Vitrina_818,Высокая,153,15,70,5,7,Высокий
DWH_Vitrina_819,Низкая,91,3,93,10,3,Низкий
DWH_Vitrina_820,Высокая,29,13,84,9,7,Высокий
DWH_Vitrina_821,Средняя,92,13,81,3,6,Средний
DWH_Vitrina_822,Высокая,147,3,94,1,5,Высокий
DWH_Vitrina_823,Низкая,60,2,83,7,7,Низкий
DWH_Vitrina_824,Высокая,135,16,82,6,4,Низкий
DWH_Vitrina_825,Высокая,92,14,85,1,7,Высокий
DWH_Vitrina_826,Низкая,103,18,70,10,4,Низкий
DWH_Vitrina_827,Средняя,117,9,92,4,6,Средний
DWH_Vitrina_828,Низкая,138,5,97,1,7,Низкий
DWH_Vitrina_829,Средняя,66,18,74,10,4,Средний
DWH_Vitrina_830,Высокая,81,2,60,5,0,Низкий
DWH_Vitrina_831,Средняя,155,21,69,4,6,Средний
DWH_Vitrina_832,Средняя,145,19,100,6,0,Низкий
DWH_Vitrina_833,Низкая,97,16,90,7,7,Низкий
DWH_Vitrina_834,Низкая,152,9,78,4,7,Низкий
DWH_Vitrina_835,Высокая,58,12,99,11,1,Низкий
DWH_Vitrina_836,Высокая,26,6,78,2,6,Высокий
DWH_Vitrina_837,Средняя,195,14,101,8,5,Средний
DWH_Vitrina_838,Низкая,38,3,64,4,0,Низкий
DWH_Vitrina_839,Низкая,175,7,84,6,1,Низкий
DWH_Vitrina_840,Низкая,193,18,64,8,3,Низкий
DWH_Vitrina_841,Средняя,148,3,97,4,4,Средний
DWH_Vitrina_842,Средняя,193,4,100,10,4,Средний
DWH_Vitrina_843,Средняя,101,9,67,10,5,Средний
DWH_Vitrina_844,Высокая,62,1,77,11,6,Высокий
DWH_Vitrina_845,Низкая,14,2,100,5,5,Низкий
DWH_Vitrina_846,Средняя,87,9,74,10,1,Низкий
DWH_Vitrina_847,Средняя,145,5,62,10,0,Низкий
DWH_Vitrina_848,Высокая,149,21,96,7,5,Высокий
DWH_Vitrina_849,Низкая,129,18,78,5,3,Низкий
DWH_Vitrina_850,Низкая,116,12,65,1,1,Низкий
DWH_Vitrina_851,Низкая,159,18,88,7,5,Низкий
DWH_Vitrina_852,Средняя,22,16,91,1,0,Низкий
DWH_Vitrina_853,Средняя,129,6,68,6,1,Низкий
DWH_Vitrina_854,Средняя,191,7,79,5,1,Низкий
DWH_Vitrina_855,Высокая,168,12,73,5,0,Низкий
DWH_Vitrina_856,Высокая,132,19,65,3,0,Низкий
DWH_Vitrina_857,Высокая,191,16,90,8,6,Высокий
DWH_Vitrina_858,Средняя,170,2,61,10,1,Низкий
DWH_Vitrina_859,Высокая,30,16,71,10,3,Низкий
DWH_Vitrina_860,Низкая,73,6,72,10,5,Низкий
DWH_Vitrina_861,Высокая,14,14,73,7,1,Низкий
DWH_Vitrina_862,Низкая,153,6,90,7,3,Низкий
DWH_Vitrina_863,Средняя,5,8,75,1,7,Средний
DWH_Vitrina_864,Низкая,126,11,69,6,5,Низкий
DWH_Vitrina_865,Средняя,124,8,76,9,4,Средний
DWH_Vitrina_866,Низкая,179,13,85,11,1,Низкий
DWH_Vitrina_867,Высокая,99,15,70,3,6,Высокий
DWH_Vitrina_868,Средняя,48,18,60,9,6,Средний
DWH_Vitrina_869,Средняя,43,17,61,11,4,Средний
DWH_Vitrina_870,Средняя,32,19,69,1,0,Низкий
DWH_Vitrina_871,Низкая,111,7,77,1,2,Низкий
DWH_Vitrina_872,Низкая,123,1,60,2,4,Низкий
DWH_Vitrina_873,Низкая,112,13,61,11,0,Низкий
DWH_Vitrina_874,Средняя,66,8,79,4,7,Средний
